,city,country,latitude,longitude,temperature,max temperature,wind speed,cloudiness,humidity
1,Port Alfred,ZA,-33.5906,26.891,59.5,59.5,13.11,0,75
2,Chibombo,ZM,-14.6569,28.0706,60.66,60.66,9.37,0,66
3,Iqaluit,CA,63.7506,-68.5145,46.13,46.13,4.61,90,87
5,Rikitea,PF,-23.1203,-134.9692,74.7,74.7,12.64,0,74
6,Bam,IR,29.106,58.357,88.9,88.9,7.09,2,12
8,Port Elizabeth,ZA,-33.918,25.5701,57.49,57.49,9.22,40,88
9,Namikupa,TZ,-10.8333,39.6,64,64,3.67,0,96
10,New Norfolk,AU,-42.7826,147.0587,38.23,40.5,1.01,100,82
11,East London,ZA,-33.0153,27.9116,60.03,60.03,9.33,0,71
12,Castro,BR,-24.7911,-50.0119,62.11,62.11,1.45,25,77
13,Mandalgovi,MN,45.7625,106.2708,63.25,63.25,8.28,43,57
14,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,53.6,13.8,90,66
16,Punta Arenas,CL,-53.15,-70.9167,41.11,41.11,6.91,75,93
17,Nikolskoye,RU,59.7035,30.7861,58.89,60.03,10.22,27,78
18,Hong Kong,HK,22.2855,114.1577,80.55,82.36,4.54,64,86
19,Carlsbad,US,33.1581,-117.3506,82.38,102.76,5.99,1,68
21,Butaritari,KI,3.0707,172.7902,82.8,82.8,8.84,25,73
22,Port Blair,IN,11.6667,92.75,78.93,78.93,13.04,100,87
23,Vaini,TO,-21.2,-175.2,69.96,69.96,8.05,75,73
24,Yellowknife,CA,62.456,-114.3525,63.12,63.12,11.5,75,63
25,Puerto Ayora,EC,-0.7393,-90.3518,71.55,76.96,3,85,90
26,Busselton,AU,-33.65,115.3333,53.04,53.04,10.54,0,72
27,Pisco,PE,-13.7,-76.2167,64.45,66.02,10.36,0,77
28,Albany,US,42.6001,-73.9662,75.09,79.3,3.49,100,52
29,Mar del Plata,AR,-38.0023,-57.5575,53.62,53.62,10.36,0,87
30,Avera,US,33.194,-82.5271,87.04,89.71,3.76,100,59
31,Bluff,NZ,-46.6,168.3333,52.81,52.81,20.15,99,67
32,Tasiilaq,GL,65.6145,-37.6368,49.23,49.23,6.78,86,69
33,Suntar,RU,62.1444,117.6319,58.59,58.59,2.35,74,99
34,Beisfjord,NO,68.3751,17.5988,55.81,57.04,2.66,95,93
36,Ciudad del Carmen,MX,18.6333,-91.8333,87.84,87.84,10.36,40,70
37,Klaksvík,FO,62.2266,-6.589,47.32,47.32,8.59,19,73
38,Salinas,US,36.6777,-121.6555,69.26,92.05,8.05,1,64
39,Nizwá,OM,22.9333,57.5333,90.03,90.03,2.64,14,40
40,Iraquara,BR,-12.2486,-41.6194,80.31,80.31,5.08,64,43
41,Sarakhs,IR,36.5449,61.1577,69.94,69.94,2.3,0,26
42,Chokurdakh,RU,70.6333,147.9167,41.23,41.23,9.37,69,68
43,Adrar,MR,20.5022,-10.0711,96.91,96.91,12.41,63,11
44,Hof,DE,50.3167,11.9167,67.12,68.63,1.99,91,68
45,Mataura,NZ,-46.1927,168.8643,52.48,52.48,5.1,100,83
46,Snihurivka,UA,47.0758,32.8052,67.98,67.98,5.68,26,38
47,Atuona,PF,-9.8,-139.0333,77.92,77.92,17.47,40,69
48,Necochea,AR,-38.5473,-58.7368,64.04,64.04,7.4,100,51
49,Lorengau,PG,-2.0226,147.2712,79.95,79.95,5.37,91,83
50,Dikson,RU,73.5069,80.5464,45.19,45.19,11.39,100,100
51,Pochutla,MX,15.7432,-96.4661,89.11,89.42,6.96,99,65
52,Buala,SB,-8.145,159.5921,81.41,81.41,7.09,85,79
53,Maragheh,IR,37.3917,46.2398,74.91,74.91,15.95,21,33
54,Nome,US,64.5011,-165.4064,48.27,48.27,4.61,90,87
55,Zhezkazgan,KZ,47.8043,67.7144,67.19,67.19,6.35,5,37
56,San Patricio,US,28.017,-97.5169,92.14,95.09,14.18,39,41
57,Cape Town,ZA,-33.9258,18.4232,51.66,57.11,2.3,0,87
58,Haines Junction,CA,60.7522,-137.5108,55.35,55.35,5.75,80,58
59,Havre-St-Pierre,CA,50.2334,-63.5986,64.76,64.76,17.27,90,77
60,Ushuaia,AR,-54.8,-68.3,49.66,49.66,4.61,20,57
61,Hermanus,ZA,-34.4187,19.2345,51.8,56.89,6.96,22,80
62,Port Augusta,AU,-32.5,137.7667,41.14,41.14,3.22,0,86
63,Linxia Chengguanzhen,CN,35.6003,103.2064,58.14,58.14,2.24,59,88
64,Ancud,CL,-41.8697,-73.8203,48.67,49.23,25.01,100,91
65,Pemba,MZ,-12.974,40.5178,75.9,75.9,23.02,20,78
66,Srednekolymsk,RU,67.45,153.6833,47.97,47.97,6.26,100,58
67,Margate,GB,51.3813,1.3862,62.91,66.9,1.99,39,75
68,Kendari,ID,-3.945,122.4989,72.19,72.19,3.56,25,95
69,Acobamba,PE,-11.3525,-75.6594,58.5,58.5,10.22,77,67
70,Zorritos,PE,-3.6805,-80.6782,77.29,77.29,9.01,50,75
71,Salina,US,38.8403,-97.6114,79.05,89.94,32.21,90,73
72,Ansfelden,AT,47.965,13.0494,63.77,66.38,12.66,75,82
73,Nantucket,US,41.2835,-70.0995,73.49,78.91,13.13,100,76
74,Altay,CN,47.8667,88.1167,59.41,59.41,3.29,90,63
75,Tiksi,RU,71.6872,128.8694,40.8,40.8,5.48,14,91
76,Kamenka,RU,51.3223,42.7678,69.53,69.53,7.87,100,73
78,Dingle,PH,10.9995,122.6711,75.63,75.63,4.59,67,88
79,Gurupi,BR,-11.7292,-49.0686,86.9,86.9,6.11,1,16
81,Avarua,CK,-21.2078,-159.775,75.25,75.25,10.36,75,73
82,Bengkulu,ID,-3.8004,102.2655,74.48,74.48,3.31,88,88
83,Kruisfontein,ZA,-34.0033,24.7314,52.88,52.88,5.19,0,69
84,Cherskiy,RU,68.75,161.3,42.51,42.51,1.66,100,91
85,Saint-Philippe,RE,-21.3585,55.7679,63.14,65.75,12.93,77,81
86,Naze,JP,28.3667,129.4833,77.97,77.97,10.27,100,87
88,Deputatsky,RU,69.3,139.9,41.07,41.07,3.51,100,81
89,Ahipara,NZ,-35.1667,173.1667,52.52,52.52,4.97,13,75
90,Nisibis,TR,37.0778,41.2178,86.61,86.61,7.4,0,23
91,Barrow,US,71.2906,-156.7887,35.62,35.62,19.57,90,80
92,Amazar,RU,53.858,120.875,54.05,54.05,0.98,0,87
94,Tara,RU,56.8944,74.371,58.44,58.44,4.72,100,86
96,Wukari,NG,7.85,9.7833,74.77,74.77,5.41,84,92
97,Airai,TL,-8.9266,125.4092,57.34,57.34,3.49,25,87
98,Lodja,CD,-3.4833,23.4333,78.48,78.48,1.86,84,55
99,Redlands,US,34.0556,-117.1825,98.24,108.55,3,12,31
101,San Cristobal,VE,7.7669,-72.225,80.78,80.78,5.37,38,75
102,Garut,ID,-7.2024,107.8878,67.19,67.19,3.15,82,95
103,Kapaa,US,22.0752,-159.319,80.56,82.72,3,75,72
104,Hilo,US,19.7297,-155.09,78.85,80.33,11.5,90,77
105,Suzun,RU,53.7841,82.3116,54.16,54.16,1.1,51,79
106,Leningradskiy,RU,69.3833,178.4167,33.26,33.26,13.78,99,89
107,Dhandhuka,IN,22.3667,71.9833,84.69,84.69,10.54,64,60
108,Provideniya,RU,64.3833,-173.3,46.51,46.51,11.18,90,81
109,Honggang,CN,46.4667,124.8667,65.34,65.34,4.94,87,81
110,Iralaya,HN,15,-83.2333,87.89,87.89,7.23,28,64
111,Isangel,VU,-19.55,169.2667,62.71,62.71,2.3,75,94
112,Coaldale,CA,49.7167,-112.6185,89.49,95.95,25.32,75,15
113,Saint Paul Harbor,US,57.79,-152.4072,62.11,62.11,8.05,1,48
114,Guilin,CN,25.2819,110.2864,75.31,75.31,0.34,100,97
115,Sabang,ID,5.8933,95.3214,80.53,80.53,11.43,100,74
117,Constitución,CL,-35.3333,-72.4167,51.78,51.78,14.99,100,85
118,Emmett,US,43.8735,-116.4993,95.2,99.48,11.05,80,9
119,Saskylakh,RU,71.9167,114.0833,46.24,46.24,7.07,61,74
120,Husavik,IS,66.0449,-17.3389,57.11,57.11,4.52,27,83
121,Suixi,CN,33.8907,116.7747,71.6,71.6,3.85,100,95
122,Kimbe,PG,-5.5502,150.1429,74.5,74.5,3.69,41,93
123,Fortuna,US,40.5982,-124.1573,68.45,71.92,3,20,76
125,Arraial do Cabo,BR,-22.9661,-42.0278,69.66,69.76,12.66,75,83
126,Sirte,LY,31.2089,16.5887,81.9,81.9,8.95,0,66
128,Ilo,PE,-17.6394,-71.3375,62.38,62.38,8.86,49,74
129,Diego de Almagro,CL,-26.3667,-70.05,72.09,72.09,8.3,5,19
130,Cairns,AU,-16.9167,145.7667,67.53,67.95,10.36,14,92
131,Ust-Maya,RU,60.4167,134.5333,61.84,61.84,2.35,99,90
132,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,50.59,50.59,6.71,20,93
133,Matamoros,MX,25.5333,-103.25,91.11,91.51,0,40,32
134,Alyangula,AU,-13.8483,136.4192,71.47,71.47,4.61,90,100
135,Ribeira Grande,PT,38.5167,-28.7,75.6,75.6,0,40,73
136,Saldanha,ZA,-33.0117,17.9442,55.45,55.45,12.3,30,71
137,Vilyuysk,RU,63.7553,121.6247,51.22,51.22,4.18,100,82
138,Tucumcari,US,35.1717,-103.725,84.04,86.94,13.8,1,45
139,Hithadhoo,MV,-0.6,73.0833,82.89,82.89,16.46,100,69
140,Leh,IN,34.1667,77.5833,50.88,50.88,6.42,20,59
141,Qaanaaq,GL,77.484,-69.3632,38.34,38.34,5.28,100,98
142,Ponta do Sol,PT,32.6667,-17.1,79.12,84.83,5.68,4,55
143,Jiayuguan City,CN,39.8167,98.3,73.99,73.99,11.16,18,32
144,Tura,IN,25.5198,90.2201,74.16,74.16,4.12,97,96
145,Kaitangata,NZ,-46.2817,169.8464,44.64,44.64,6.08,100,78
147,Lebu,CL,-37.6167,-73.65,49.98,49.98,24.4,100,91
148,Coquimbo,CL,-29.9533,-71.3436,58.73,58.73,12.66,0,67
149,Sühbaatar,MN,50.2314,106.2078,63.41,63.41,4.16,98,81
150,Cabo San Lucas,MX,22.8909,-109.9124,93.07,97.52,13.8,1,58
151,Upernavik,GL,72.7868,-56.1549,42.15,42.15,7.56,100,96
152,Brockville,CA,44.5834,-75.6826,74.07,76.57,3,4,47
153,Bredasdorp,ZA,-34.5322,20.0403,49.32,51.28,3.44,79,93
154,Kaura Namoda,NG,12.5898,6.5779,76.1,76.1,1.63,95,82
155,Calama,CL,-22.4667,-68.9333,70.29,70.29,20.71,0,14
156,Dāmghān,IR,36.1683,54.348,75.81,75.81,4.68,37,40
157,Pangnirtung,CA,66.1451,-65.7125,46.4,46.4,10.36,75,81
158,Huarmey,PE,-10.0681,-78.1522,67.3,67.3,12.19,38,73
160,Esmeraldas,BR,-19.7625,-44.3139,82.31,83.26,4.18,88,39
161,Saint George,US,37.1041,-113.5841,102.74,105.64,1.99,1,24
162,Chapais,CA,49.7834,-74.8492,71.38,71.38,9.66,39,31
164,Sterling,US,39.0062,-77.4286,80.29,83.39,4.61,90,60
165,Roald,NO,62.5833,6.1333,55.76,59.16,1.14,75,88
166,Warmbad,NA,-28.45,18.7333,62.64,62.64,8.08,0,40
167,Berlevåg,NO,70.8578,29.0864,44.55,44.6,10.36,75,76
168,Sorong,ID,-0.8833,131.25,77.18,77.18,1.21,100,84
169,Launceston,AU,-41.45,147.1667,41.27,45.81,1.01,75,84
171,Çumra,TR,37.5732,32.7745,68.14,68.14,5.26,0,37
172,Tuatapere,NZ,-46.1333,167.6833,52.83,52.83,9.04,100,81
173,Hobart,AU,-42.8794,147.3294,39.58,40.86,3,75,88
174,Alofi,NU,-19.0595,-169.9187,73.29,73.29,14.97,99,78
176,Vila Velha,BR,-20.3297,-40.2925,71.55,71.55,8.05,75,83
177,Ambulu,ID,-8.345,113.6058,72.25,72.25,3.65,45,90
178,Nishihara,JP,26.1842,127.7558,80.31,80.65,6.91,40,95
179,Mossamedes,AO,-15.1961,12.1522,65.75,65.75,6.67,14,92
180,Bonavista,CA,48.6499,-53.1147,80.6,80.6,14.79,74,88
181,São Filipe,CV,14.8961,-24.4956,76.91,76.91,1.61,95,82
182,Agadez,NE,19.75,10.25,93.76,93.76,6.58,99,15
183,Boshnyakovo,RU,49.6333,142.1667,54.99,54.99,6.17,72,80
184,Te Anau,NZ,-45.4167,167.7167,46.31,46.31,10.83,86,87
185,Zhaodong,CN,46.0833,125.9833,59.02,59.02,2.86,22,91
186,Salalah,OM,17.0151,54.0924,78.89,78.89,3.44,90,89
187,Saint Anthony,US,45.0205,-93.218,85.39,88.18,3,1,34
189,Bethel,US,41.3712,-73.414,79.68,83.62,4.61,1,50
190,Quatre Cocos,MU,-20.2078,57.7625,64.09,68.11,13.69,100,68
191,Conceição do Araguaia,BR,-8.2578,-49.2647,96.93,96.93,5.75,0,16
192,Shingū,JP,33.7333,135.9833,76.91,76.91,4.72,99,95
193,Nelson Bay,AU,-32.7167,152.15,47.26,55.76,16.51,0,75
194,Redmond,US,47.674,-122.1215,83.79,92.98,1.01,44,53
195,Grand Gaube,MU,-20.0064,57.6608,64.38,68.4,1.99,82,79
197,Kuvshinovo,RU,57.0295,34.1725,60.48,60.48,5.46,98,80
198,Honiara,SB,-9.4333,159.95,77.02,77.02,7.96,92,89
199,Pervomayskiy,RU,53.2485,40.2871,66.83,66.83,5.5,52,52
200,Lázaro Cárdenas,MX,17.9583,-102.2,86.65,86.65,7.29,33,69
201,Boyuibe,BO,-20.4167,-63.2833,80.51,80.51,7.18,41,24
202,Chālūs,IR,36.655,51.4204,76.46,76.46,2.3,20,78
203,Bambous Virieux,MU,-20.3428,57.7575,68.25,68.25,12.66,40,68
204,Teknāf,BD,20.8624,92.3058,78.66,78.66,9.22,100,91
205,Clyde River,CA,70.4692,-68.5914,45.16,45.16,2.17,96,78
206,Laguna,US,38.421,-121.4238,89.28,102.63,5.75,1,37
207,Maués,BR,-3.3836,-57.7186,83.82,83.82,1.28,90,67
208,Aklavik,CA,68.2191,-135.0107,58.03,58.03,7.63,100,49
209,Iracoubo,GF,5.4802,-53.2011,75.36,75.36,9.28,100,84
210,Buin,CL,-33.7333,-70.75,54.09,55.72,4.5,100,57
211,Kamuli,UG,0.9472,33.1197,63.66,63.66,1.61,61,78
213,Yulara,AU,-25.2406,130.9889,51.64,51.64,5.75,40,40
214,Baringo,KE,0.4667,35.9667,68.41,68.41,9.01,71,70
215,Daye,CN,30.0833,114.95,74.08,74.08,1.07,99,95
216,Esperance,AU,-33.8667,121.9,48.04,48.04,7.94,0,88
217,Erenhot,CN,43.6475,111.9767,69.98,69.98,7.25,0,57
218,Imeni Poliny Osipenko,RU,52.4201,136.4853,60.04,60.04,4.5,70,88
219,Carnarvon,AU,-24.8667,113.6333,57.27,57.27,5.75,75,53
220,Ol'ga,RU,43.7444,135.2892,55.81,55.81,2.48,43,92
221,Ostrovnoy,RU,68.0531,39.5131,54.09,54.09,6.2,100,97
222,Ljungby,SE,56.8332,13.9408,58.5,59.41,5.55,90,87
223,Puerto Escondido,MX,15.85,-97.0667,88.63,88.63,5.75,40,58
224,Sompeta,IN,18.9333,84.6,82.18,82.18,3.96,68,82
225,Novobirilyussy,RU,56.9514,90.6661,57.04,57.04,3.49,53,70
226,Sitka,US,57.0531,-135.33,53.49,53.49,0,75,82
227,Câmara de Lobos,PT,32.6333,-16.9667,84.83,84.83,23.02,20,13
228,Pangody,RU,65.85,74.4859,50.58,50.58,14.07,60,82
229,Kyabé,TD,9.4515,18.9449,73.78,73.78,0.63,79,93
230,Rapid Valley,US,44.0625,-103.1463,95.31,97.57,3,1,17
231,Tomatlán,MX,19.9333,-105.25,91.02,91.02,7.78,92,60
232,Uyuni,BO,-20.4597,-66.825,49.69,49.69,11.68,2,10
233,Pevek,RU,69.7008,170.3133,32.7,32.7,4.25,100,97
234,Kashgar,CN,39.4547,75.9797,69.01,69.01,4.47,99,28
235,Irondequoit,US,43.2134,-77.5797,72.84,76.12,3,75,59
236,Torbay,CA,47.6666,-52.7314,78.75,79.75,12.66,75,77
237,Bajos de Haina,DO,18.4154,-70.0332,82.94,84.13,0,75,82
238,Nekrasovskoye,RU,57.6766,40.3657,67.89,67.89,6.71,0,68
239,Padang,ID,-0.9492,100.3543,77.32,77.32,3.74,98,86
240,Weligama,LK,5.9667,80.4167,77.72,77.72,12.62,100,87
241,Kawalu,ID,-7.3817,108.2082,71.64,71.64,1.95,91,97
242,Nanortalik,GL,60.1432,-45.2371,48.79,48.79,10.83,100,96
243,Birao,CF,10.2849,22.7882,71.87,71.87,2.37,63,91
244,Borovskoy,KZ,53.8,64.15,71.69,71.69,7.34,98,56
245,Los Llanos de Aridane,ES,28.6585,-17.9182,73.15,73.15,17.27,0,78
246,Makakilo City,US,21.3469,-158.0858,82.47,82.72,12.66,75,56
248,Port Hawkesbury,CA,45.6169,-61.3485,77.92,81.43,5.01,1,73
249,Açucena,BR,-19.0731,-42.5464,79.32,79.32,4.14,14,57
250,Nyurba,RU,63.2842,118.3319,52.32,52.32,5.46,97,94
251,Ndago,TZ,-4.6,34.35,66.36,66.36,13.73,79,46
252,Kloulklubed,PW,7.0419,134.2556,77.5,77.5,9.98,51,73
254,Vila Franca do Campo,PT,37.7167,-25.4333,75.61,75.61,8.03,24,93
255,Balkhash,KZ,46.844,74.9804,62.98,62.98,12.26,96,60
256,Cidreira,BR,-30.1811,-50.2056,58.19,58.19,5.68,45,95
258,La Crosse,US,43.8014,-91.2396,81.01,82.42,5.01,1,47
259,Zyryanka,RU,65.75,150.85,51.12,51.12,3.06,100,59
260,Matagami,CA,49.7502,-77.6328,73.51,73.51,16.11,1,40
261,Xining,CN,36.6167,101.7667,54.75,54.75,1.97,13,80
262,Kiryat Gat,IL,31.61,34.7642,77.29,81.28,3.67,0,100
263,Havelock,US,34.8791,-76.9013,86.67,89.94,5.01,20,81
264,Port Lincoln,AU,-34.7333,135.8667,55.06,55.06,9.28,100,69
265,Qaqortoq,GL,60.7167,-46.0333,61.3,61.3,9.91,100,97
266,Quimper,FR,48,-4.1,61.38,61.63,11.5,75,94
267,Tabou,CI,4.423,-7.3528,76.24,76.24,8.84,28,73
268,Bhādāsar,IN,28.2833,74.3167,91.6,91.6,7.9,5,39
269,Homer,US,59.6425,-151.5483,54.77,57.07,8.05,1,77
270,Katobu,ID,-4.9408,122.5276,73.15,73.15,2.91,12,95
271,Dalby,AU,-27.1833,151.2667,43.5,43.5,6.53,12,73
272,Great Falls,US,47.5002,-111.3008,93.74,95.92,17.27,1,16
273,Biltine,TD,14.5333,20.9167,76.95,76.95,7.16,98,65
274,Jamestown,US,42.097,-79.2353,73.36,78.3,6.91,1,49
275,Malanje,AO,-9.5402,16.341,75.18,75.18,5.32,86,46
276,Dhidhdhoo,MV,6.8833,73.1,81.82,81.82,16.71,99,77
278,Flinders,AU,-34.5833,150.8552,57.63,58.17,7,0,46
279,Yeppoon,AU,-23.1333,150.7333,56.98,56.98,6.17,34,86
280,Mtwara,TZ,-10.2667,40.1833,71.92,71.92,11.43,0,85
281,Potiskum,NG,11.7091,11.0694,77.49,77.49,6.73,100,78
282,Bashtanka,UA,47.4072,32.4387,67.68,67.68,5.41,19,40
283,Caborca,MX,30.5838,-111.101,87.49,87.49,4.05,94,45
284,Duyun,CN,26.2667,107.5167,69.67,69.67,1.95,100,100
285,Abu Samrah,SY,35.3029,37.1841,77.97,77.97,12.35,0,48
286,Tanem,NO,63.3078,10.4319,50.14,53.49,2.17,100,93
287,Severodvinsk,RU,64.5635,39.8302,59.11,59.11,10.49,85,94
288,Yaring,TH,6.8662,101.3689,78.67,78.67,3.42,100,82
289,Khatanga,RU,71.9667,102.5,55.83,55.83,14.47,100,57
290,Hay River,CA,60.8156,-115.7999,60.78,60.78,10.36,75,77
291,Longhua,CN,23.6137,114.1919,76.06,76.06,0.51,98,97
292,Bilma,NE,18.6853,12.9164,94.78,94.78,7.7,22,28
293,Coremas,BR,-7.0144,-37.9458,85.93,85.93,14.45,78,37
294,Pemangkat,ID,1.1667,108.9667,76.3,76.3,3.98,83,87
295,Mount Kisco,US,41.2043,-73.7271,80.02,84.9,1.01,20,47
296,Thompson,CA,55.7435,-97.8558,77.16,77.16,24.16,40,36
297,Sept-Îles,CA,50.2001,-66.3821,72.48,73.92,8.99,75,57
298,Souillac,MU,-20.5167,57.5167,68.38,68.38,12.66,40,68
299,Tallahassee,US,30.4383,-84.2807,84.43,88,4,90,81
300,Faya,SA,18.3851,42.4509,68.52,69.91,3.47,100,62
301,Coahuayana Viejo,MX,18.7333,-103.6833,90.88,90.88,6.82,36,61
302,Punta de Bombón,PE,-17.1717,-71.7931,61.12,61.12,8.63,80,79
303,Diofior,SN,14.1833,-16.6667,81.52,81.52,8.43,100,76
304,Korla,CN,41.7597,86.1469,72.97,72.97,2.26,100,41
305,Camopi,GF,3.1655,-52.3158,80.65,80.65,3.67,31,74
306,Ust'-Ilimsk,RU,58.0006,102.6619,55.17,55.17,4.03,100,86
307,Katsuura,JP,35.1333,140.3,68.02,68.11,13.27,100,95
308,Vao,NC,-22.6667,167.4833,68.74,68.74,18.23,92,63
309,Tavricheskoye,RU,54.5851,73.6395,60.71,60.71,5.1,38,60
